M,K,N,Command,Instructions,L1 Cache Misses,L2 Cache Misses,L3 Cache Misses,Elapsed Time
32,170,32,pthread_blis,10106581,36766,25956,2486,0.004586680
32,170,32,para_blis,15356711,24837,4958,825,0.005759785
32,170,64,blis,2038648,9073,6333,<not,0.001579105
32,170,64,pool_blis,16893972,467208,446677,13475,0.020648407
32,170,64,pthread_blis,15190968,47872,28753,911,0.006059039
32,170,64,para_blis,22917983,35482,5189,766,0.008129591
32,170,100,blis,2788232,10863,6790,<not,0.001572734
32,170,100,pool_blis,22094215,630679,593152,14912,0.027590665
32,170,100,pthread_blis,21186826,60828,35101,3814,0.007875931
32,170,100,para_blis,31424399,47106,5173,652,0.011706169
32,170,128,blis,3309989,11828,6922,<not,0.001774409
32,170,128,pool_blis,28809082,770757,722519,25428,0.033624366
32,170,128,pthread_blis,25357254,67493,36723,7498,0.009083686
32,170,128,para_blis,38040463,56278,5018,708,0.014049768
32,170,150,blis,3761457,12838,7044,<not,0.001934342
32,170,150,pool_blis,32464527,871932,831833,25953,0.037440264
32,170,150,pthread_blis,28964078,76298,40919,8126,0.010472928
32,170,150,para_blis,44309776,63385,5180,667,0.016045889
32,170,170,blis,4183065,13662,7268,<not,0.002097404
32,170,170,pool_blis,33402142,966507,904870,38437,0.041792651
32,170,170,pthread_blis,32338186,82644,44160,12467,0.011387226
32,170,170,para_blis,83771384,150946,63747,108629,0.021670571
32,170,200,blis,4740528,14943,7718,<not,0.002248763
32,170,200,pool_blis,41521761,1108411,1050533,44682,0.055510583
32,170,200,pthread_blis,36793013,89977,46024,6296,0.015873787
32,170,200,para_blis,78178157,172601,72593,132379,0.025047712
32,170,220,blis,5172491,15845,7994,<not,0.002437511
32,170,220,pool_blis,45545822,1193635,1141672,44779,0.051468941
32,170,220,pthread_blis,40247742,98640,50165,10003,0.014038206
32,170,220,para_blis,87071168,155291,74995,148224,0.026535847
32,170,256,blis,5853159,17133,8239,<not,0.002693577
32,170,256,pool_blis,52050695,1380197,1303912,73549,0.060409501
32,170,256,pthread_blis,45688369,108185,55250,16233,0.015570696
32,170,256,para_blis,70465732,124825,18913,40922,0.026859526
32,170,275,blis,6267237,18162,8711,<not,0.003003757
32,170,275,pool_blis,50610083,1428251,1354998,59646,0.062192160
32,170,275,pthread_blis,48997964,116344,59448,10434,0.016782819
32,170,275,para_blis,75711916,122435,6129,26350,0.028275211
32,170,300,blis,6761966,19558,8974,<not,0.003000015
32,170,300,pool_blis,58507130,1551553,1459342,52181,0.066862908
